연번,구분,세부구분,시설명,시설명영문명,데이터기준일자
225,예술/문화,미술관,오지호기념관,Oh Jiho Memorial Hall,2025-09-22
226,예술/문화,미술관,조선대미술관,Chosun University Art Center,2025-09-22
227,예술/문화,미술관,무등현대미술관,Mudeung Hyundai Art Museum,2025-09-22
228,예술/문화,미술관,신세계갤러리,Shinsegae Gallery,2025-09-22
229,체험/스포츠,공연장,국립아시아문화전당,Asia Culture Center,2025-09-22
230,체험/스포츠,공연장,빛고을국악전수관,Bitgoeul Korea Traditional Classical Music Instruction Hall,2025-09-22
231,체험/스포츠,공연장,빛고을시민문화관,Bitgoeul Citizen Culture Hall,2025-09-22
232,역사/전통,전통가옥/근대건축,양림동역사문화마을,Yangnim-dong Modern History Culture Village,2025-09-22
233,예술/문화,전통문화,빛고을공예창작촌,Daechon Folk Culture Hall,2025-09-22
234,예술/문화,전통문화,무등도요,Mudeung Pottery Site,2025-09-22
235,예술/문화,전통문화,광주도예문화센터,Gwangju Ceramic Culture Center,2025-09-22
236,쇼핑,전통시장,말바우시장,Malbau Market,2025-09-22
237,쇼핑,전통시장,무등시장,Mudeung Market,2025-09-22
238,쇼핑,전통시장,송정5일장,Songjeong Market(five-day interval) ,2025-09-22
239,거리,이색거리,예술의 거리,Gwangju Art Street,2025-09-22
240,거리,음식의 거리,대인시장회타운,Hoetown (Sliced Raw Fish) Street of Daein Market,2025-09-22
241,거리,음식의 거리,아시아음식문화거리,Asian Food Culture Street,2025-09-22
242,거리,이색거리,통기타 라이브 카페거리,Acoustic guitar live cafe street.,2025-09-22
243,자연,자연,무등산 국립공원,Mudeungsan Mountain,2025-09-22
244,공원,도시근린공원,사직공원,Sajik Park,2025-09-22
245,체험/스포츠,스포츠/기타,광주월드컵경기장,Gwangju World Cup Stadium ,2025-09-22
246,공원,도시근린공원,중외공원,Jungoe Park ,2025-09-22
247,거리,음식의 거리,송정떡갈비거리,Songjeong Tteokgalbi like being melted in the mouth * Tteokgalbi: Marinated Beef Ribs,2025-09-22
248,거리,음식의 거리,유동오리탕거리,"Duck Stew, Good for Our Body and Taste ",2025-09-22
249,맛집,한식,어머니의 손맛 광주김치 ,Gwangju Kimchi Keeping the Handy Taste of Mother,2025-09-22
250,거리,음식의 거리,무등산보리밥거리,Mt. Mudeung Boribab (boiled barley) in Search for Natural Taste,2025-09-22
251,예술/문화,전통문화,광주전통문화관,Traditional Culture Center,2025-09-22
252,예술/문화,미술관,한희원미술관,Han Hee-won Museum of Art,2025-09-22
253,자연,자연,용추계곡,Yongchu Valley,2025-09-22
254,공원,도시근린공원,조선대학교 장미원,Chosun University Rose Garden,2025-09-22
255,예술/문화,전통문화,평촌도예공방,Pyeongchon Ceramics Workshop,2025-09-22
256,예술/문화,전통문화,얼쑤,Eolssu,2025-09-22
257,예술/문화,박물관,전남대박물관 공룡전시실,Chonnam National University Dinosaur Museum,2025-09-22
258,체험/스포츠,체험장,기아자동차,Kia Motors,2025-09-22
259,맛집,양식,알랭,Alain,2025-09-22
260,체험/스포츠,체험장,광주 콩종합센터,Gwangju Bean Center ,2025-09-22
261,맛집,한식,홍아네,Hongane,2025-09-22
262,예술/문화,문화유산,충효동 왕버들군,Chunghyo-dong Willow,2025-09-22
263,체험/스포츠,체험장,아시아 문화전당 어린이체험관,Asia Culture Center: Culture Adventure of ACC Children,2025-09-22
