연번,구분,세부구분,시설명,시설명영문명,데이터기준일자,주소,위도,경도,지오코딩상태,재시도방법
50,예술/문화,문화유산,취병 조형 유허비,Cho Hyeong (pen name Chwibyeong) Monument,2025-09-22,광주 광산구 비아동 689-3,35.2209017573034,126.817253993157,success,
51,예술/문화,문화유산,포충사 고경명 문적,A Collection of Go Gyeongmyeong´s Works (block-book) in Pochungsa Shrine,2025-09-22,,,,not_found,
52,예술/문화,문화유산,회재 유집 목판(운리사),A wood carving of Park Gwangok (pen name Hoejae)'s Biography(in Unisa Shrine),2025-09-22,,,,not_found,
53,예술/문화,문화유산,사암집 목판각,A Collection of Park Sun (pen name Saam)´s Works (block-book),2025-09-22,,,,not_found,
54,예술/문화,문화유산,신용동 오층석탑,Shinyong-dong 5-Story Stone Pagoda,2025-09-22,전북특별자치도 익산시 남중동 201-5,35.9452759872652,126.952501465938,success,
55,역사/전통,사찰/기독교,오웬기념각,Owen Memorial Hall,2025-09-22,광주 남구 양림동 67-1,35.1383019701613,126.915838507872,success,
56,예술/문화,문화유산,운천사 마애여래좌상,Uncheonsa Maeyeoraejwasang(Buddhist Statue) ,2025-09-22,광주 서구 쌍촌동 903-18,35.1419607193264,126.8542130798,success,
57,예술/문화,문화유산,원효사 동부도,Wonhyosa Temple Dongbudo(Stone Stupa) ,2025-09-22,광주 북구 금곡동 809-8,35.1450437462883,126.986120437386,success,
58,예술/문화,문화유산,원효사소장 만수사 범종,Mansusa Temple Bell (colleced by Wonhyosa Temple),2025-09-22,,,,not_found,
59,예술/문화,문화유산,(전) 광주 성거사지 오층석탑,Gwangju Seonggeo-saji(temple site) 5-Story Stone Pagoda,2025-09-22,광주 남구 구동 16-2,35.1478398662527,126.907966849633,success,korean_cleaned
60,예술/문화,문화유산,광주 자운사 목조아미타래여좌상 및 복장유물,Jaunsa Mokjoamitaraeyeojwasang(wooden Buddhist statue) and Costume Relics,2025-09-22,,,,not_found,
61,예술/문화,문화유산,광산농악(상쇠),Gwangsan Farm Music(the leading gong player),2025-09-22,광주 광산구 산정동 696-1,35.1736414351556,126.790179418733,success,korean_cleaned
62,예술/문화,문화유산,남도창동편제(판소리),Dongpyeonje(a pansori-Korean style opera in Namdo area),2025-09-22,,,,not_found,
63,역사/전통,전통가옥/근대건축,광주교육대학교 본관,Gwangju National University of Education Main Building,2025-09-22,광주 북구 풍향동 1-1,35.1654787274413,126.925206370604,success,
64,예술/문화,선비문화,화담사,Hwadamsa Shrine ,2025-09-22,광주 서구 화정동 781-23,35.1538817007765,126.878340982813,success,
65,예술/문화,선비문화,환벽당 일원,Hwanbyeokdang Pavilion,2025-09-22,,,,not_found,
66,역사/전통,전통가옥/근대건축,오지호생가,Oh Jiho’s Birthplace,2025-09-22,전남 화순군 동복면 독상리 277-1,35.0692271142753,127.130409357631,success,
67,역사/전통,전통가옥/근대건축,박용철생가(용아생가),Birthplace of Park Yongcheol(pen name Yonga),2025-09-22,광주 광산구 소촌동 363-1,35.1494287087171,126.795175628086,success,
68,역사/전통,사찰/기독교,우일선 선교사사택,Missionary Wilson’s House,2025-09-22,광주 남구 양림동 226-25,35.1383640253918,126.911839948184,success,
69,예술/문화,문화유산,필장,Piljang (artisan to make a brush),2025-09-22,,,,not_found,
70,예술/문화,문화유산,화류 소목장,Wooden Furniture Master(mostly quince tree) ,2025-09-22,,,,not_found,
71,역사/전통,사찰/기독교,약사암,Gwangju Yaksaam,2025-09-22,경북 구미시 남통동 산 33-1,36.09233140964881,128.301371092582,success,
72,자연,자연,개금산,Gaegeumsan Mountain,2025-09-22,광주 서구 매월동 산 74,35.119460785015434,126.85263067159126,success,
73,예술/문화,문화유산,기대승 종가소장 문적,A Collection of Gi Daeseung(pen name Gobong)´s Works (block-book),2025-09-22,,,,not_found,
74,역사/전통,전통가옥/근대건축,전라남도 도청 회의실,Jeollanam-do Conference Hall ,2025-09-22,광주 동구 광산동 13,35.1473330749224,126.920372457357,success,
75,역사/전통,사찰/기독교,증심사,Jeungsimsa Temple,2025-09-22,광주 동구 운림동 56,35.12857735398967,126.96968900451077,success,
76,예술/문화,문화유산,광주읍성 유허,Gwangjueupseong (Castle) Site,2025-09-22,광주 동구 광산동 13,35.1467569913022,126.92158015274,success,
77,예술/문화,선비문화,만귀정,Mangwijeong Pavilion,2025-09-22,광주 서구 세하동 274-1,35.1209077520531,126.834016664237,success,
78,예술/문화,문화유산,남도판소리-한애순,Namdo Pansori (Korean traditional style opera in Namdo area),2025-09-22,,,,not_found,
79,예술/문화,문화유산,악기장,Akgijang(Korean traditional music instrument manufacturing master),2025-09-22,,,,not_found,
80,예술/문화,문화유산,판소리 춘향가 (동초제),"Pansori Chunhyangga(Dongchoje-a pansori in memorial of a chaste woman, Chunhyang)",2025-09-22,,,,not_found,
81,예술/문화,문화유산,이신의종가 소장 고문서,Lee Sinui Clan Old Documents(owned) ,2025-09-22,,,,not_found,
82,예술/문화,선비문화,병천사,Byeongcheonsa Shrine,2025-09-22,광주 서구 금호동 458,35.137802766857,126.856502822218,success,
83,예술/문화,선비문화,광주향교,Gwangju Confucian School,2025-09-22,경기 하남시 교산동 227-3,37.5217592263317,127.198321660141,success,
84,예술/문화,선비문화,지산재,Jisanjae Shrine,2025-09-22,광주 남구 양과동 715-1,35.0818866750343,126.873658343489,success,
85,예술/문화,문화유산,고봉문집 목판,A Collection of Gi Daeseung (pen name Gobong)´s Works (block-book),2025-09-22,,,,not_found,
86,예술/문화,문화유산,광주 십신사지 석불,Gwangju Sipshinsa(temple) Stone Buddhist Statue ,2025-09-22,광주 북구 용봉동 1004-4,35.1841879531066,126.888545804324,success,
